date,传统高耗能与材料行业,消费与轻工制造,装备制造,先进制造与技术相关行业,其他制造,装备与先进制造合计,结构转型差值T,结构转型比值R
2022-01-01,0.5162559476100017,0.25067662306276267,0.12014653863098552,0.08394071498500703,0.028980175710855125,0.20408725361599256,-0.31216869399400915,0.3953218448345459
2022-02-01,0.5394112865824456,0.23418750556455067,0.11589348162113683,0.08630322019652148,0.02420450604361891,0.20219670181765834,-0.3372145847647873,0.37484699865795973
2022-03-01,0.5166856455477284,0.25165699721559065,0.12819621174098356,0.07477509022275403,0.0286860552960799,0.2029713019637376,-0.31371434358399086,0.3928332511513295
2022-04-01,0.5172816729993007,0.2520421204889233,0.12243984830829839,0.07929376689276685,0.02894259130606498,0.20173361520106523,-0.31554805779823547,0.3899879422199014
2022-05-01,0.5124339012055981,0.25657797779074926,0.12339532527515994,0.07850697280263279,0.02908582291552078,0.2019022980777927,-0.31053160312780537,0.39400651987071733
2022-06-01,0.4900479661041259,0.2659221224442725,0.13040885970304833,0.08285789553804568,0.030763156220840665,0.21326675524109398,-0.27678121086303187,0.4351956746939724
2022-07-01,0.47816721050119415,0.2705448218900909,0.13432200715878195,0.08411344832973852,0.03285251212426102,0.21843545548852047,-0.25973175501267365,0.4568181395365146
2022-08-01,0.4760733728968066,0.2732776455359647,0.13497383666586263,0.08296522879828996,0.03270991610307611,0.2179390654641526,-0.25813430743265403,0.45778461445562285
2022-09-01,0.4806091861432544,0.2720842787518718,0.1343531997613506,0.08108640620951015,0.03186692913401307,0.21543960597086073,-0.26516958017239367,0.44826360415559147
2022-10-01,0.497843670380452,0.26172662406282815,0.13183098452768685,0.07747230927660152,0.031126411752431443,0.20930329380428836,-0.28854037657616366,0.42041971457493643
2022-11-01,0.5044153571178729,0.2504391556936412,0.13632760325573665,0.07796282757856217,0.03085505637416677,0.21429043083429883,-0.29012492628357406,0.4248293153854611
2022-12-01,0.5037996103793996,0.2502033975039731,0.13485356355927158,0.07901302898218696,0.03213039957786063,0.21386659254145854,-0.289933017837941,0.4245072606951813
